"ID","FSU_Serial_No","Stratum","Sub_Stratum_No","Hamlet_Group_Sub_Block_No","Second_Stage_Stratum_No","sex","Age","age_group5","age_group10","Multiplier_comb","Current_Weekly_Activity_Status","Current_Weekly_Activity_NIC_2008","urban","employment_status","industry","weekly_earnings","analysis_group"
"FSU46648S01SS01HG1SSS3HH01P01",46648,1,1,1,3,"Male",60,"60-64","60-69",1171.5,51,41001,1,"Employed","Construction",1250,"Male;60-64;Construction;Urban"
"FSU46655S02SS05HG1SSS2HH04P01",46655,2,5,1,2,"Male",64,"60-64","60-69",1107.75,11,41001,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU46594S11SS01HG1SSS2HH01P01",46594,11,1,1,2,"Male",60,"60-64","60-69",722.75,51,41001,1,"Employed","Construction",2400,"Male;60-64;Construction;Urban"
"FSU46526S08SS01HG1SSS2HH04P01",46526,8,1,1,2,"Male",64,"60-64","60-69",2354.06,51,41001,1,"Employed","Construction",1250,"Male;60-64;Construction;Urban"
"FSU46520S08SS04HG1SSS3HH02P01",46520,8,4,1,3,"Male",64,"60-64","60-69",650,51,43303,1,"Employed","Construction",800,"Male;60-64;Construction;Urban"
"FSU46533S08SS06HG1SSS3HH01P01",46533,8,6,1,3,"Male",60,"60-64","60-69",332.5,51,43303,1,"Employed","Construction",1800,"Male;60-64;Construction;Urban"
"FSU41740S06SS01HG1SSS3HH02P01",41740,6,1,1,3,"Male",60,"60-64","60-69",1639.125,51,41001,1,"Employed","Construction",1050,"Male;60-64;Construction;Urban"
"FSU41720S18SS03HG1SSS2HH04P01",41720,18,3,1,2,"Male",60,"60-64","60-69",8538.75,51,41003,1,"Employed","Construction",700,"Male;60-64;Construction;Urban"
"FSU41757S08SS01HG1SSS2HH04P01",41757,8,1,1,2,"Male",60,"60-64","60-69",212.75,51,41002,1,"Employed","Construction",1050,"Male;60-64;Construction;Urban"
"FSU49517S12SS02HG1SSS3HH01P01",49517,12,2,1,3,"Male",62,"60-64","60-69",704,51,41001,1,"Employed","Construction",1050,"Male;60-64;Construction;Urban"
"FSU47949S14SS02HG1SSS1HH02P01",47949,14,2,1,1,"Male",62,"60-64","60-69",624.25,51,41001,1,"Employed","Construction",1250,"Male;60-64;Construction;Urban"
"FSU47957S18SS01HG1SSS3HH02P01",47957,18,1,1,3,"Male",60,"60-64","60-69",88.125,51,41001,1,"Employed","Construction",1400,"Male;60-64;Construction;Urban"
"FSU47744S01SS01HG1SSS2HH02P01",47744,1,1,1,2,"Male",60,"60-64","60-69",1905.31,11,41001,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU47742S02SS01HG1SSS2HH04P01",47742,2,1,1,2,"Male",60,"60-64","60-69",3017.81,51,41002,1,"Employed","Construction",1750,"Male;60-64;Construction;Urban"
"FSU47721S31SS01HG1SSS3HH02P01",47721,31,1,1,3,"Male",60,"60-64","60-69",1710,51,41001,1,"Employed","Construction",1050,"Male;60-64;Construction;Urban"
"FSU47750S13SS01HG1SSS3HH02P01",47750,13,1,1,3,"Male",60,"60-64","60-69",169.125,51,41001,1,"Employed","Construction",1750,"Male;60-64;Construction;Urban"
"FSU47732S31SS01HG1SSS3HH02P01",47732,31,1,1,3,"Male",60,"60-64","60-69",495,51,41001,1,"Employed","Construction",1050,"Male;60-64;Construction;Urban"
"FSU47786S09SS01HG1SSS3HH02P01",47786,9,1,1,3,"Male",60,"60-64","60-69",318.375,51,41001,1,"Employed","Construction",700,"Male;60-64;Construction;Urban"
"FSU41017S26SS05HG1SSS1HH02P01",41017,26,5,1,1,"Male",63,"60-64","60-69",2915.625,11,41001,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU41894S10SS01HG1SSS2HH03P01",41894,10,1,1,2,"Male",60,"60-64","60-69",3611.25,51,41001,1,"Employed","Construction",1050,"Male;60-64;Construction;Urban"
"FSU41842S15SS02HG1SSS1HH03P01",41842,15,2,1,1,"Male",60,"60-64","60-69",774.375,11,41001,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU41815S27SS03HG1SSS2HH04P01",41815,27,3,1,2,"Male",61,"60-64","60-69",1556.625,11,41001,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU41823S04SS01HG1SSS2HH03P01",41823,4,1,1,2,"Male",60,"60-64","60-69",611.165,51,41001,1,"Employed","Construction",840,"Male;60-64;Construction;Urban"
"FSU46933S20SS01HG1SSS1HH01P04",46933,20,1,1,1,"Male",62,"60-64","60-69",5.625,51,41001,1,"Employed","Construction",2100,"Male;60-64;Construction;Urban"
"FSU46938S20SS03HG1SSS3HH01P01",46938,20,3,1,3,"Male",60,"60-64","60-69",61.25,51,41001,1,"Employed","Construction",2100,"Male;60-64;Construction;Urban"
"FSU46908S26SS01HG1SSS2HH02P01",46908,26,1,1,2,"Male",60,"60-64","60-69",1058,51,41002,1,"Employed","Construction",861,"Male;60-64;Construction;Urban"
"FSU46794S30SS07HG1SSS1HH01P01",46794,30,7,1,1,"Male",60,"60-64","60-69",3226,11,41001,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU46428S04SS01HG1SSS2HH02P01",46428,4,1,1,2,"Male",60,"60-64","60-69",2295,51,41001,1,"Employed","Construction",700,"Male;60-64;Construction;Urban"
"FSU46489S11SS01HG1SSS2HH03P01",46489,11,1,1,2,"Male",60,"60-64","60-69",3817.69,51,41001,1,"Employed","Construction",800,"Male;60-64;Construction;Urban"
"FSU46154S02SS04HG1SSS3HH02P01",46154,2,4,1,3,"Male",60,"60-64","60-69",354.25,51,41001,1,"Employed","Construction",800,"Male;60-64;Construction;Urban"
"FSU46071S11SS02HG1SSS1HH02P01",46071,11,2,1,1,"Male",64,"60-64","60-69",337.75,31,41001,1,"Employed","Construction",1350,"Male;60-64;Construction;Urban"
"FSU46021S10SS02HG1SSS1HH02P01",46021,10,2,1,1,"Male",60,"60-64","60-69",567.625,51,41001,1,"Employed","Construction",2800,"Male;60-64;Construction;Urban"
"FSU46894S32SS11HG1SSS3HH01P01",46894,32,11,1,3,"Male",60,"60-64","60-69",3183.25,51,43303,1,"Employed","Construction",1800,"Male;60-64;Construction;Urban"
"FSU46800S06SS02HG1SSS2HH02P01",46800,6,2,1,2,"Male",60,"60-64","60-69",4796,11,41001,1,"Employed","Construction",0,"Male;60-64;Construction;Urban"
"FSU45994S32SS09HG1SSS2HH03P01",45994,32,9,1,2,"Male",60,"60-64","60-69",3618,51,41001,1,"Employed","Construction",2870,"Male;60-64;Construction;Urban"
"FSU45928S23SS01HG1SSS3HH01P01",45928,23,1,1,3,"Male",60,"60-64","60-69",121.875,51,41001,1,"Employed","Construction",930,"Male;60-64;Construction;Urban"
